id,created_at,favorites,retweets,retweeted,source,text
857882839412559872,2017-04-28 09:03:02,0,1088,False,Twitter for Android,RT @RealKyleMorris: My thoughts on the impotence of the left's resistance and why UC Berkeley should be speaking up. https://t.co/ftHIHGR5CO
857882683241877504,2017-04-28 09:02:25,0,549,False,Twitter for Android,"RT @RT_com: ‘#Trump is puppet of US deep state, making an assessment of his foreign policy is a waste of time’ -  Assad https://t.co/RtRsIn…"
857882603172626432,2017-04-28 09:02:05,0,29,False,Twitter for Android,RT @Independent: Donald Trump praises Kim Jong Un: 'Not many 27-year-old men could go in and take over a regime' https://t.co/kMDuX66Xqk
857882587318145024,2017-04-28 09:02:02,0,73,False,Twitter for Android,"RT @tzoumio: The ancient theatre of Delphi,shrouded in mist https://t.co/NkuuIn0X4X"
857882513225781248,2017-04-28 09:01:44,0,111,False,Twitter for Android,"RT @RedHotSquirrel: UK GDP Growth:

+0.3% Q1 2017
+0.2% Q1 2016
+0.3% Q1 2015

Economic growth in the first quarter of the year is often fa…"
857882492849852416,2017-04-28 09:01:39,0,116,False,Twitter for Android,RT @summermckeen: Looking back on Coachella! Worked with @HP and @taystdesign to make this video with the Spectre x360!! Check it out ❤️ #H…
857882312897384449,2017-04-28 09:00:56,0,10,False,Twitter for Android,RT @tassagency_en: Crew of Russian vessel that sank off Turkey's coast returns home — media https://t.co/Y6ECTGzusT
857882250117042177,2017-04-28 09:00:41,0,1634,False,Twitter for Android,"RT @CBSNews: ""The evidence ... is powerful, mounting, incontrovertible evidence that there has been a violation of criminal law,"" Rep. Blum…"
857882216180875264,2017-04-28 09:00:33,0,5,False,Twitter for Android,RT @RusConsulGen: #OTD in 2016 #Russia 🇷🇺 launched its first rocket from a new cosmodrome #Vostochny https://t.co/5Ky52cau1j
857882072324743168,2017-04-28 08:59:59,0,14,False,Twitter for Android,RT @petejohn10: Moldova’s President Bars Military from NATO Exercise :: Balkan Insight https://t.co/g2Nh0xPj5h
857881944046153728,2017-04-28 08:59:28,0,14,False,Twitter for Android,RT @RF_OSCE: #Lukashevich on @OSCE_SMM https://t.co/7wAR6LvUe2 #Ukraine https://t.co/geqdEvP6aq
857881887095873536,2017-04-28 08:59:15,0,113,False,Twitter for Android,"RT @XHNews: Exciting! Different perspective watching an international long downhill competition held in a scenic spot in Yichang, central C…"
